,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
273,0.006,0.845,0.149,0.02,0.02,0.94,0.02,True,False,False,False
274,0.019,0.8290000000000001,0.152,0.02,0.02,0.95,0.02,True,True,False,False
275,0.013999999999999999,0.825,0.162,0.02,0.02,0.95,0.02,False,False,True,True
276,0.023,0.847,0.13,0.34,0.02,0.63,0.02,False,False,False,True
277,0.036000000000000004,0.818,0.147,0.3,0.02,0.65,0.02,False,False,False,False
278,0.018000000000000002,0.8540000000000001,0.127,0.27,0.02,0.69,0.02,True,True,True,True
279,0.028999999999999998,0.84,0.131,0.41,0.02,0.55,0.02,False,False,False,True
280,0.023,0.836,0.14,0.02,0.02,0.95,0.02,True,True,True,True
281,0.018000000000000002,0.8490000000000001,0.132,0.02,0.01,0.95,0.01,False,False,False,False
282,0.018000000000000002,0.831,0.152,0.02,0.02,0.95,0.02,False,False,False,False
283,0.027000000000000003,0.853,0.12,0.93,0.02,0.03,0.02,True,True,True,True
284,0.016,0.8420000000000001,0.142,0.96,0.01,0.01,0.01,True,True,False,True
285,0.026000000000000002,0.856,0.11800000000000001,0.94,0.02,0.02,0.02,False,True,False,True
286,0.022000000000000002,0.807,0.172,0.93,0.02,0.02,0.02,False,False,False,False
287,0.021,0.8540000000000001,0.125,0.96,0.01,0.01,0.01,False,True,True,False
288,0.022000000000000002,0.8340000000000001,0.145,0.96,0.01,0.01,0.01,True,False,True,True
289,0.013999999999999999,0.84,0.147,0.02,0.01,0.96,0.01,False,False,False,False
290,0.023,0.845,0.132,0.02,0.01,0.95,0.01,True,True,True,True
291,0.027000000000000003,0.883,0.09,0.02,0.01,0.96,0.01,True,True,False,True
292,0.027999999999999997,0.8220000000000001,0.15,0.02,0.02,0.95,0.02,True,True,True,False
293,0.031,0.812,0.158,0.96,0.01,0.01,0.01,True,True,True,True
294,0.035,0.835,0.13,0.94,0.02,0.02,0.02,True,True,True,False
295,0.019,0.833,0.149,0.94,0.02,0.02,0.02,False,False,False,False
296,0.027999999999999997,0.813,0.159,0.94,0.02,0.02,0.02,False,False,False,True
297,0.033,0.833,0.134,0.96,0.01,0.01,0.01,False,False,False,False
298,0.025,0.856,0.11900000000000001,0.94,0.02,0.02,0.02,True,True,False,False
299,0.027000000000000003,0.804,0.16899999999999998,0.96,0.01,0.01,0.01,True,True,True,True
300,0.011000000000000001,0.797,0.192,0.27,0.01,0.7,0.01,False,False,True,True
301,0.013999999999999999,0.83,0.156,0.34,0.01,0.64,0.01,True,True,True,True
302,0.013999999999999999,0.812,0.175,0.18,0.01,0.79,0.01,True,False,True,True
303,0.015,0.7979999999999999,0.187,0.09,0.01,0.88,0.01,True,True,True,True
304,0.024,0.8170000000000001,0.159,0.03,0.01,0.95,0.01,True,True,False,False
305,0.022000000000000002,0.833,0.14400000000000002,0.01,0.01,0.96,0.01,False,False,True,True
306,0.013999999999999999,0.825,0.16,0.02,0.02,0.95,0.02,True,True,True,True
307,0.013999999999999999,0.851,0.135,0.02,0.02,0.95,0.02,True,True,True,True
308,0.015,0.818,0.16699999999999998,0.02,0.02,0.95,0.02,True,True,True,True
